0:0:0.5,13.06,-4.28,-19.19
0:0:0.14,3.58,55.23,15.88
0:0:0.25,-56.78,-30.8,24.86
0:0:0.35,90.52,21.67,-3.72
0:0:0.45,15.62,24.41,3.16
0:0:0.85,-45.83,-24.08,-8.89
0:0:0.95,33.69,5.84,10.17
0:0:1.5,10.14,-22.23,3.66
0:0:1.14,-2.62,33.64,12.5
0:0:1.54,-6.52,-59.97,-6.84
0:0:1.64,-32.25,134.83,22.77
0:0:1.83,-15.06,54.56,-57.91
0:0:2.60,26.52,-6.92,-27.69
0:0:2.80,-201.53,74.03,76.48
0:0:3.0,-49.39,74.22,-17.56
0:0:3.9,9.0,-149.72,-29.77
0:0:4.14,16.36,108.47,2.58
0:0:4.63,-6.55,-9.05,6.77
0:0:5.1,14.16,-32.5,-9.88
0:0:5.44,-1.97,4.2,1.98
0:0:5.54,8.2,-5.17,4.39
0:0:5.64,-6.2,52.28,-10.91
0:0:5.93,-1.77,-0.17,7.56
0:0:6.4,9.53,-32.42,-6.02
0:0:6.13,-4.22,-89.08,5.95
0:0:6.23,-3.91,163.77,-23.31
0:0:6.33,-15.31,-65.11,8.53
0:0:6.63,5.81,24.95,6.56
0:0:7.20,7.75,-71.55,9.17
0:0:7.40,35.72,-29.08,10.67
0:0:7.51,-17.59,-13.38,-7.86
0:0:7.70,-5.92,3.23,-8.83
0:0:8.8,-0.23,-11.16,-7.58
0:0:8.47,6.0,-8.61,-7.23
0:0:8.57,5.09,-12.95,7.02
0:0:8.67,-6.69,-13.61,1.33
0:0:8.77,-3.83,42.23,-4.14
0:0:9.7,0.52,-23.91,-4.45
0:0:9.26,7.47,-7.66,-2.39
0:0:9.46,0.84,-7.83,1.23
0:0:9.56,2.92,-28.92,3.31
0:0:9.66,-3.41,12.67,2.12
0:0:9.77,25.98,-36.94,6.5
0:0:9.87,-30.69,38.28,22.62
0:0:9.97,11.38,-36.42,-14.31
0:0:10.7,-5.59,-22.38,9.23
0:0:10.28,25.05,77.61,12.33
0:0:10.39,5.66,-29.47,-15.78
0:0:10.82,5.0,-2.66,1.89
0:0:11.3,-59.91,-160.67,-15.22
0:0:11.13,62.89,10.56,30.64
0:0:11.25,105.66,-516.36,-15.16
0:0:11.57,26.02,-73.92,-40.41
0:0:11.68,16.61,22.2,67.52
0:0:11.79,6.25,-362.83,-134.19
0:0:11.90,69.16,102.48,126.64
0:0:12.2,-10.92,18.39,-87.31
0:0:12.43,2.27,39.77,24.59
0:0:12.66,-45.45,-23.31,-17.22
0:0:12.77,45.31,-136.27,-35.09
0:0:12.88,-44.36,206.14,29.34
0:0:13.9,-5.3,-32.02,-22.58
0:0:13.19,-14.67,106.34,45.11
0:0:13.94,6.83,-24.89,16.58
0:0:14.15,-25.23,90.83,10.94
0:0:14.47,-5.09,147.62,26.19
0:0:14.58,48.97,157.59,-44.03
0:0:14.91,19.5,-143.22,58.55
0:0:15.22,10.56,-1.73,-86.64001
0:0:15.54,10.83,45.09,23.64
0:0:16.7,89.92,-39.56,-19.14
0:0:16.28,3.02,-93.73,-161.2
0:0:16.81,6.48,290.83,204.42
0:0:17.65,3.61,24.67,-25.83
0:0:18.39,-0.95,-3.56,35.31
0:0:18.83,-33.12,371.2,-18.28
0:0:19.66,-12.28,-20.09,60.86
0:0:19.99,74.62,-279.89,-63.66
0:0:21.14,-74.86,5.05,106.14
