0:0:0,x,y,z
0:1:30.7,-1881.25,-448.44,631.25
0:1:30.27,195.31,-1193.75,2398.44
0:1:30.49,2326.56,-1010.94,4307.81
0:1:30.71,1156.25,-3914.06,2387.5
0:1:30.92,-15879.69,4712.5,-425.0
0:1:31.14,-13039.06,-10721.88,2254.69
0:1:31.35,11148.44,-10331.25,445.31
0:1:31.57,-4317.19,-16609.38,-13865.62
0:1:31.80,3965.62,6614.06,-3915.62
0:1:32.2,3926.56,13042.19,21900.0
0:1:32.23,-129.69,-1626.56,1292.19
0:1:32.44,-23.44,-2210.94,-11729.69
0:1:32.66,-8628.119,-8476.56,-6906.25
0:1:32.88,520.31,2379.69,1421.88
0:1:33.15,4834.38,3851.56,16604.69
0:1:33.37,-82.81,2184.38,2773.44
0:1:33.58,-1873.44,-5706.25,-24875.0
0:1:33.80,-273.44,-6265.62,-6162.5
0:1:34.2,2126.56,7442.19,12142.19
0:1:34.23,2170.31,-128.12,13895.31
0:1:34.45,-964.06,-2196.88,-310.94
0:1:34.67,-7271.88,-12976.56,-17937.5
0:1:34.89,-85.94001,-2496.88,-5651.56
0:1:35.12,5964.06,14062.5,17709.38
0:1:35.34,-328.12,-3695.31,3582.81
0:1:35.56,12.5,-3053.12,-7223.44
0:1:35.78,-7879.69,-7806.25,-16982.81
0:1:36.0,1940.62,4965.62,3748.44
0:1:36.22,8623.441,13767.19,18012.5
0:1:36.44,-1176.56,-4734.38,-296.88
0:1:36.71,-2684.38,-989.06,-21714.06
0:1:36.93,-1306.25,-4581.25,-7709.38
0:1:37.14,1934.38,5518.75,11768.75
0:1:37.36,6015.62,2926.56,15065.62
0:1:37.58,-2898.44,-8514.06,-2070.31
0:1:37.80,-5528.12,-11887.5,-16098.44
0:1:38.3,51.56,-6771.88,-5151.56
0:1:38.24,3590.62,13868.75,18300.0
0:1:38.45,1110.94,-2592.19,8084.38
0:1:38.68,370.31,-1175.0,-6442.19
0:1:38.90,-7825.0,-14796.88,-17053.12
0:1:39.13,-3843.75,434.38,5121.88
0:1:39.36,5762.5,16443.75,17364.06
0:1:39.58,-456.25,910.94,570.31
0:1:39.80,-1157.81,-6864.06,-18032.81
0:1:40.3,-3387.5,-6875.0,-13626.56
0:1:40.30,4134.38,13931.25,14404.69
0:1:40.52,2212.5,368.75,11985.94
0:1:40.74,-1081.25,-4515.62,-6435.94
0:1:41.0,-7629.69,-13028.12,-9523.44
0:1:41.20,-3004.69,-5007.81,64.06
0:1:41.41,4657.81,13898.44,17260.94
0:1:41.61,62.5,-3789.06,3217.19
0:1:41.82,818.75,20.31,-5985.94
0:1:42.3,-6417.19,-13979.69,-11890.62
0:1:42.23,-1587.5,-5956.25,-1692.19
0:1:42.44,3878.12,12296.88,15548.44
0:1:42.65,2506.25,-2818.75,4014.06
0:1:42.85,-3926.56,-8246.88,2079.69
0:1:43.6,-3487.5,-4320.31,-15706.25
0:1:43.27,40.62,-5185.94,-1296.88
0:1:43.47,2993.75,8703.12,9715.62
0:1:43.73,2564.06,-892.19,4462.5
0:1:43.93,-2260.94,-6184.38,973.44
0:1:44.13,-3121.88,-3120.31,-15740.62
0:1:44.34,-510.94,-3723.44,-6085.94
0:1:44.54,3460.94,8364.059,12609.38
0:1:44.76,6817.19,6112.5,11809.38
0:1:44.96,-1276.56,-4200.0,1975.0
0:1:45.17,-1782.81,3318.75,-18657.81
0:1:45.38,-979.69,-5403.12,-7246.88
0:1:45.58,2318.75,5512.5,8892.191
0:1:45.79,7567.19,9885.941,15032.81
0:1:46.0,-245.31,-3073.44,3195.31
0:1:46.20,-910.94,998.44,-18096.88
0:1:46.41,-4815.62,-7367.19,-8948.441
0:1:46.62,1209.38,3479.69,9289.06
0:1:46.82,7618.75,14934.38,18309.38
0:1:47.8,287.5,-3576.56,2573.44
0:1:47.28,-982.81,545.31,-20639.06
0:1:47.50,-4717.19,-7007.81,-8575.0
0:1:47.71,2010.94,3139.06,11340.62
0:1:47.93,7437.5,14764.06,17665.62
0:1:48.14,889.06,-2200.0,-800.0
0:1:48.35,-3237.5,-2768.75,-11096.88
0:1:48.55,-6928.12,-11478.12,-8898.44
0:1:48.77,-1204.69,1576.56,5426.56
0:1:48.98,5609.38,14506.25,16723.44
0:1:49.19,-317.19,-1434.38,1789.06
0:1:49.40,498.44,1878.12,-12776.56
0:1:49.61,-7798.44,-11954.69,-10054.69
0:1:49.84,-371.88,2792.19,3768.75
0:1:50.6,8800.0,20598.44,12032.81
0:1:50.26,-193.75,-5532.81,3307.81
0:1:50.53,-603.12,-937.5,-17703.12
0:1:50.74,-3998.44,-8529.691,-8134.379
0:1:50.95,2214.06,5807.81,9826.56
0:1:51.16,7690.62,16356.25,14634.38
0:1:51.37,-1331.25,-6589.06,121.88
0:1:51.58,-2250.0,-1435.94,-17657.81
0:1:51.79,-5614.06,-8701.56,-6398.44
0:1:52.0,1000.0,4751.56,8928.12
0:1:52.21,7812.5,12603.12,15968.75
0:1:52.42,2109.38,1270.31,-1826.56
